avg_max,avg_min,work_day,power
15.8,11.266666666666667,0,25720
18.066666666666666,11.933333333333334,0,25485
19.933333333333334,14.533333333333333,0,25476
20.933333333333334,14.733333333333333,1,29734
18.666666666666668,13.733333333333333,1,30050
17.666666666666668,11.666666666666666,1,30327
14.733333333333333,7.6,1,30500
10.8,7.866666666666666,1,30412
11.8,8.466666666666667,0,28068
15.266666666666667,11.0,0,27255
14.2,9.866666666666667,1,30679
13.6,8.466666666666667,1,30633
17.2,11.0,1,29994
18.466666666666665,12.0,1,30021
20.2,13.266666666666667,1,29555
20.6,11.466666666666667,0,27121
16.733333333333334,10.4,0,26712
16.666666666666668,11.4,1,29938
19.6,13.2,1,29990
21.133333333333333,15.6,1,29984
22.466666666666665,17.266666666666666,1,30285
20.0,16.4,1,30095
19.866666666666667,14.066666666666666,0,27218
20.4,13.733333333333333,0,25717
19.933333333333334,14.0,1,29794
20.466666666666665,14.6,1,29933
19.933333333333334,13.466666666666667,1,29588
19.0,11.466666666666667,1,29557
17.4,12.0,1,29269
19.2,13.0,0,26662
20.466666666666665,13.266666666666667,0,25458
21.2,14.333333333333334,1,29042
21.066666666666666,14.0,1,29726
21.2,14.0,1,29623
21.6,14.266666666666667,1,29655
21.866666666666667,13.733333333333333,1,29291
21.6,15.266666666666667,0,26677
22.866666666666667,15.533333333333333,1,25915
21.0,15.733333333333333,1,27915
19.733333333333334,16.0,1,26114
21.0,16.4,1,24370
19.533333333333335,14.666666666666666,0,22133
19.6,15.666666666666666,0,21913
20.0,15.666666666666666,0,21956
20.533333333333335,14.4,0,22440
22.0,15.0,0,23465
19.933333333333334,13.866666666666667,0,24715
19.733333333333334,12.266666666666667,0,27891
17.666666666666668,10.733333333333333,1,28533
18.933333333333334,11.733333333333333,1,28627
20.2,12.733333333333333,1,27392
21.733333333333334,14.4,0,25257
24.066666666666666,15.266666666666667,1,29366
24.466666666666665,16.4,1,29919
24.066666666666666,16.666666666666668,1,30031
22.666666666666668,16.733333333333334,1,30072
22.866666666666667,15.866666666666667,1,29739
20.533333333333335,15.466666666666667,0,26456
22.266666666666666,16.733333333333334,0,25017
23.133333333333333,15.6,1,26556
19.866666666666667,15.133333333333333,1,29416
19.733333333333334,16.0,1,29677
21.466666666666665,17.733333333333334,1,29785
22.733333333333334,17.733333333333334,1,29869
23.066666666666666,17.133333333333333,0,26912
22.533333333333335,16.4,0,25794
21.133333333333333,16.4,1,29772
23.066666666666666,16.733333333333334,1,29947
21.866666666666667,16.733333333333334,1,29906
22.666666666666668,16.733333333333334,1,30040
22.133333333333333,16.466666666666665,1,29928
20.866666666666667,16.4,0,26797
23.4,16.4,0,25641
23.866666666666667,16.466666666666665,1,30088
26.133333333333333,18.666666666666668,1,30684
26.133333333333333,18.0,1,30716
24.8,18.4,1,30724
24.133333333333333,18.4,1,30865
24.933333333333334,16.133333333333333,0,27747
21.666666666666668,14.6,0,25688
17.533333333333335,14.866666666666667,1,29607
20.533333333333335,15.533333333333333,1,29726
20.866666666666667,14.866666666666667,1,30050
22.266666666666666,16.4,1,29854
24.0,17.466666666666665,1,29929
25.333333333333332,19.133333333333333,0,27693
26.6,19.133333333333333,0,26864
25.6,19.2,1,31460
27.0,20.066666666666666,1,32056
25.933333333333334,20.8,1,32094
27.2,20.4,1,32005
27.333333333333332,20.4,1,29093
25.733333333333334,19.866666666666667,0,27630
24.333333333333332,17.333333333333332,0,25218
22.533333333333335,17.6,0,26063
22.866666666666667,17.866666666666667,1,29830
23.533333333333335,18.133333333333333,1,29885
23.4,17.533333333333335,1,30083
21.466666666666665,17.8,1,29476
24.066666666666666,18.133333333333333,0,27017
25.466666666666665,18.666666666666668,0,26623
25.466666666666665,19.4,1,31152
26.0,19.533333333333335,1,31623
23.533333333333335,19.133333333333333,1,30610
